doc_id,month,filing_period,vendor_name,vendor_gstin,vendor_type,vendor_reliability,invoice_date,taxable_value,gst_rate_pct,books_igst,gstr2b_igst,difference,mismatch_type,itc_eligible,itc_at_risk,status
GST-020034,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,146900.14,18,26442.03,26442.03,0.0,None,26442.03,0.0,Reconciled
GST-020035,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,24501.89,18,4410.34,4410.34,0.0,None,4410.34,0.0,Reconciled
GST-020036,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,20973.49,5,1048.67,0.0,-1048.67,Missing in 2B,0.0,1048.67,Mismatch
GST-020037,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,126712.0,5,6335.6,6335.6,0.0,None,6335.6,0.0,Reconciled
GST-020038,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,47742.89,18,8593.72,8593.72,0.0,None,8593.72,0.0,Reconciled
GST-020039,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,192554.52,28,53915.27,53915.27,0.0,None,53915.27,0.0,Reconciled
GST-020040,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,155733.38,18,28032.01,28032.01,0.0,None,28032.01,0.0,Reconciled
GST-020041,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,233478.95,5,11673.95,11673.95,0.0,None,11673.95,0.0,Reconciled
GST-020042,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,39791.15,28,11141.52,11141.52,0.0,None,11141.52,0.0,Reconciled
GST-020043,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,58843.96,12,7061.28,7061.28,0.0,None,7061.28,0.0,Reconciled
GST-020044,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,91221.08,18,16419.79,16419.79,0.0,None,16419.79,0.0,Reconciled
GST-020045,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,89730.82,5,4486.54,4486.54,0.0,None,4486.54,0.0,Reconciled
GST-020046,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,167207.18,5,8360.36,8360.36,0.0,None,8360.36,0.0,Reconciled
GST-020047,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,217271.69,18,39108.9,39108.9,0.0,None,39108.9,0.0,Reconciled
GST-020048,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,140511.01,12,16861.32,16861.32,0.0,None,16861.32,0.0,Reconciled
GST-020049,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,43168.36,28,12087.14,12087.14,0.0,None,12087.14,0.0,Reconciled
GST-020050,2022-04,Apr-2022,Vendor D - LogisticsFast,27DDDDU5678R1ZV,Regular,0.95,2022-04-01,54548.39,28,15273.55,15273.55,0.0,None,15273.55,0.0,Reconciled
GST-020051,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,109901.5,12,13188.18,13188.18,0.0,None,13188.18,0.0,Reconciled
GST-020052,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,241175.11,12,28941.01,28941.01,0.0,None,28941.01,0.0,Reconciled
GST-020053,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,182383.59,5,9119.18,4047.45,-5071.73,Short in 2B,4047.45,5071.73,Mismatch
GST-020054,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,133129.57,12,15975.55,10717.91,-5257.64,Short in 2B,10717.91,5257.64,Mismatch
GST-020055,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,174965.78,5,8748.29,8748.29,0.0,None,8748.29,0.0,Reconciled
GST-020056,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,246627.86,28,69055.8,69055.8,0.0,None,69055.8,0.0,Reconciled
GST-020057,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,34000.53,28,9520.15,11117.73,1597.58,Excess in 2B,9520.15,0.0,Mismatch
GST-020058,2022-04,Apr-2022,Vendor E - LabChemicals,19EEEEV9012R1ZU,Composition,0.7,2022-04-01,163591.87,12,19631.02,19631.02,0.0,None,19631.02,0.0,Reconciled
GST-020059,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,36218.1,5,1810.9,1810.9,0.0,None,1810.9,0.0,Reconciled
GST-020060,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,134426.71,28,37639.48,40414.22,2774.74,Excess in 2B,37639.48,0.0,Mismatch
GST-020061,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,18898.14,18,3401.67,3401.67,0.0,None,3401.67,0.0,Reconciled
GST-020062,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,96936.51,18,17448.57,17448.57,0.0,None,17448.57,0.0,Reconciled
GST-020063,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,177370.37,28,49663.7,49663.7,0.0,None,49663.7,0.0,Reconciled
GST-020064,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,211861.87,18,38135.14,38135.14,0.0,None,38135.14,0.0,Reconciled
GST-020065,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,41666.28,18,7499.93,7499.93,0.0,None,7499.93,0.0,Reconciled
GST-020066,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,178509.33,18,32131.68,32131.68,0.0,None,32131.68,0.0,Reconciled
GST-020067,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,207047.22,5,10352.36,10352.36,0.0,None,10352.36,0.0,Reconciled
GST-020068,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,76294.86,5,3814.74,0.0,-3814.74,Missing in 2B,0.0,3814.74,Mismatch
GST-020069,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,226598.24,18,40787.68,40787.68,0.0,None,40787.68,0.0,Reconciled
GST-020070,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,80534.77,18,14496.26,14496.26,0.0,None,14496.26,0.0,Reconciled
GST-020071,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,225820.91,28,63229.85,63229.85,0.0,None,63229.85,0.0,Reconciled
GST-020072,2022-04,Apr-2022,Vendor F - PrintingHub,36FFFFW3456R1ZT,Regular,0.9,2022-04-01,223625.97,28,62615.27,55376.11,-7239.16,Short in 2B,55376.11,7239.16,Mismatch
GST-020073,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,151461.36,28,42409.18,42628.41,219.23,Excess in 2B,42409.18,0.0,Mismatch
GST-020074,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,52789.89,12,6334.79,6334.79,0.0,None,6334.79,0.0,Reconciled
GST-020075,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,120379.67,5,6018.98,6018.98,0.0,None,6018.98,0.0,Reconciled
GST-020076,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,182362.12,5,9118.11,9118.11,0.0,None,9118.11,0.0,Reconciled
GST-020077,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,57023.34,28,15966.54,15966.54,0.0,None,15966.54,0.0,Reconciled
GST-020078,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,214567.5,5,10728.38,10728.38,0.0,None,10728.38,0.0,Reconciled
GST-020079,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,142496.95,18,25649.45,25649.45,0.0,None,25649.45,0.0,Reconciled
GST-020080,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,77322.56,12,9278.71,9278.71,0.0,None,9278.71,0.0,Reconciled
GST-020081,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,245039.82,18,44107.17,44107.17,0.0,None,44107.17,0.0,Reconciled
GST-020082,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,163317.58,12,19598.11,19598.11,0.0,None,19598.11,0.0,Reconciled
GST-020083,2022-04,Apr-2022,Vendor G - ColdStorage,09GGGGY7890R1ZS,Regular,0.85,2022-04-01,166599.29,18,29987.87,29987.87,0.0,None,29987.87,0.0,Reconciled
GST-020084,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,69093.54,28,19346.19,19346.19,0.0,None,19346.19,0.0,Reconciled
GST-020085,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,20714.25,5,1035.71,0.0,-1035.71,Missing in 2B,0.0,1035.71,Mismatch
GST-020086,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,125436.96,12,15052.44,15052.44,0.0,None,15052.44,0.0,Reconciled
GST-020087,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,101987.29,5,5099.36,5099.36,0.0,None,5099.36,0.0,Reconciled
GST-020088,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,92726.32,12,11127.16,11127.16,0.0,None,11127.16,0.0,Reconciled
GST-020089,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,241450.69,5,12072.53,12072.53,0.0,None,12072.53,0.0,Reconciled
GST-020090,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,86838.8,28,24314.86,24314.86,0.0,None,24314.86,0.0,Reconciled
GST-020091,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,89476.67,28,25053.47,25053.47,0.0,None,25053.47,0.0,Reconciled
GST-020092,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,107752.49,12,12930.3,12930.3,0.0,None,12930.3,0.0,Reconciled
GST-020093,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,148964.37,28,41710.02,41710.02,0.0,None,41710.02,0.0,Reconciled
GST-020094,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,172718.73,18,31089.37,31089.37,0.0,None,31089.37,0.0,Reconciled
GST-020095,2022-04,Apr-2022,Vendor H - ContainerWorld,24HHHHZ2345R1ZR,Regular,0.93,2022-04-01,136807.47,12,16416.9,16416.9,0.0,None,16416.9,0.0,Reconciled
GST-020096,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,178798.7,18,32183.77,32183.77,0.0,None,32183.77,0.0,Reconciled
GST-020097,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,144912.69,12,17389.52,17389.52,0.0,None,17389.52,0.0,Reconciled
GST-020098,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,205376.65,5,10268.83,10268.83,0.0,None,10268.83,0.0,Reconciled
GST-020099,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,34174.63,18,6151.43,6151.43,0.0,None,6151.43,0.0,Reconciled
GST-020100,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,202599.37,5,10129.97,9249.21,-880.76,Short in 2B,9249.21,880.76,Mismatch
GST-020101,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,223355.03,18,40203.91,40203.91,0.0,None,40203.91,0.0,Reconciled
GST-020102,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,37085.76,18,6675.44,6675.44,0.0,None,6675.44,0.0,Reconciled
GST-020103,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,92115.88,12,11053.91,11053.91,0.0,None,11053.91,0.0,Reconciled
GST-020104,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,82337.19,12,9880.46,9880.46,0.0,None,9880.46,0.0,Reconciled
GST-020105,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,73809.07,12,8857.09,8857.09,0.0,None,8857.09,0.0,Reconciled
GST-020106,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,99644.8,28,27900.54,27900.54,0.0,None,27900.54,0.0,Reconciled
GST-020107,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,209549.22,28,58673.78,59198.1,524.32,Excess in 2B,58673.78,0.0,Mismatch
GST-020108,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,27145.2,28,7600.66,7600.66,0.0,None,7600.66,0.0,Reconciled
GST-020109,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,179385.37,28,50227.9,50227.9,0.0,None,50227.9,0.0,Reconciled
GST-020110,2022-04,Apr-2022,Vendor I - ChemSupplies,22IIIIX6789R1ZQ,Regular,0.68,2022-04-01,244325.24,28,68411.07,68411.07,0.0,None,68411.07,0.0,Reconciled
GST-020111,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,201868.76,18,36336.38,36336.38,0.0,None,36336.38,0.0,Reconciled
GST-020112,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,189850.02,12,22782.0,0.0,-22782.0,Missing in 2B,0.0,22782.0,Mismatch
GST-020113,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,211455.33,5,10572.77,10572.77,0.0,None,10572.77,0.0,Reconciled
GST-020114,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,28675.49,12,3441.06,-1178.14,-4619.2,Short in 2B,-1178.14,4619.2,Mismatch
GST-020115,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,182930.04,28,51220.41,51220.41,0.0,None,51220.41,0.0,Reconciled
GST-020116,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,164993.59,5,8249.68,8249.68,0.0,None,8249.68,0.0,Reconciled
GST-020117,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,145273.2,12,17432.78,17432.78,0.0,None,17432.78,0.0,Reconciled
GST-020118,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,26213.29,12,3145.59,3145.59,0.0,None,3145.59,0.0,Reconciled
GST-020119,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,193093.84,5,9654.69,9654.69,0.0,None,9654.69,0.0,Reconciled
GST-020120,2022-04,Apr-2022,Vendor J - FreightCo,33JJJJW1234R1ZP,Regular,0.8,2022-04-01,36572.78,18,6583.1,0.0,-6583.1,Missing in 2B,0.0,6583.1,Mismatch
GST-020121,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,56202.61,28,15736.73,11685.69,-4051.04,Short in 2B,11685.69,4051.04,Mismatch
GST-020122,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,55702.44,12,6684.29,6684.29,0.0,None,6684.29,0.0,Reconciled
GST-020123,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,26293.85,12,3155.26,3155.26,0.0,None,3155.26,0.0,Reconciled
GST-020124,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,25646.44,18,4616.36,0.0,-4616.36,Missing in 2B,0.0,4616.36,Mismatch
GST-020125,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,132744.37,28,37168.42,37168.42,0.0,None,37168.42,0.0,Reconciled
GST-020126,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,53289.59,28,14921.09,14921.09,0.0,None,14921.09,0.0,Reconciled
GST-020127,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,236899.13,28,66331.76,66331.76,0.0,None,66331.76,0.0,Reconciled
GST-020128,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,235954.11,28,66067.15,66067.15,0.0,None,66067.15,0.0,Reconciled
GST-020129,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,149741.25,5,7487.06,7487.06,0.0,None,7487.06,0.0,Reconciled
GST-020130,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,143219.95,5,7161.0,7161.0,0.0,None,7161.0,0.0,Reconciled
GST-020131,2022-04,Apr-2022,Vendor K - PackMaterials,11KKKKV5678R1ZO,Composition,0.72,2022-04-01,207800.31,28,58184.09,58184.09,0.0,None,58184.09,0.0,Reconciled
GST-020132,2022-04,Apr-2022,Vendor L - FlavorBase,44LLLLУ9012R1ZN,Regular,0.88,2022-04-01,79380.86,28,22226.64,21018.32,-1208.32,Short in 2B,21018.32,1208.32,Mismatch
GST-020133,2022-04,Apr-2022,Vendor L - FlavorBase,44LLLLУ9012R1ZN,Regular,0.88,2022-04-01,175506.59,5,8775.33,8775.33,0.0,None,8775.33,0.0,Reconciled
GST-020134,2022-04,Apr-2022,Vendor L - FlavorBase,44LLLLУ9012R1ZN,Regular,0.88,2022-04-01,105568.21,12,12668.19,0.0,-12668.19,Missing in 2B,0.0,12668.19,Mismatch
GST-020135,2022-04,Apr-2022,Vendor L - FlavorBase,44LLLLУ9012R1ZN,Regular,0.88,2022-04-01,81235.87,28,22746.04,22746.04,0.0,None,22746.04,0.0,Reconciled
GST-020136,2022-04,Apr-2022,Vendor L - FlavorBase,44LLLLУ9012R1ZN,Regular,0.88,2022-04-01,96859.1,18,17434.64,17434.64,0.0,None,17434.64,0.0,Reconciled
GST-020137,2022-04,Apr-2022,Vendor L - FlavorBase,44LLLLУ9012R1ZN,Regular,0.88,2022-04-01,187741.7,5,9387.08,9387.08,0.0,None,9387.08,0.0,Reconciled
GST-020138,2022-04,Apr-2022,Vendor L - FlavorBase,44LLLLУ9012R1ZN,Regular,0.88,2022-04-01,143773.39,5,7188.67,7188.67,0.0,None,7188.67,0.0,Reconciled
