snapshot_date,sku,product_name,category,warehouse,current_stock_kg,avg_daily_sales,days_no_movement,last_sale_date,lead_time_days,safety_stock,reorder_point,ideal_stock,needs_reorder,unit_cost_inr,total_value_inr,monthly_holding_cost,aging_bucket,is_dead_stock,health_score,supplier
2023-01-01,RM005,Collagen Hydrolysate,Raw Material,Delhi WH,313,1.81,82,2022-10-11,13,11,34,54,0,650,203450,4069.0,Very Slow (61-90d),0,0.0,SUP-04
2023-01-01,RM005,Collagen Hydrolysate,Raw Material,Mumbai WH,731,1.91,99,2022-09-24,11,10,31,57,0,650,475150,9503.0,Dead (90+d),1,0.0,SUP-01
2023-01-01,RM005,Collagen Hydrolysate,Raw Material,Pune WH,685,1.97,135,2022-08-19,11,10,31,59,0,650,445250,8905.0,Dead (90+d),1,0.0,SUP-10
2023-01-01,RM006,Maltodextrin,Raw Material,Bangalore WH,291,43.77,38,2022-11-24,9,196,589,1313,1,120,34920,698.4,Slow (31-60d),0,32.3,SUP-10
2023-01-01,RM006,Maltodextrin,Raw Material,Delhi WH,532,33.75,33,2022-11-29,14,236,708,1012,1,120,63840,1276.8,Slow (31-60d),0,8.0,SUP-05
2023-01-01,RM006,Maltodextrin,Raw Material,Mumbai WH,136,38.28,22,2022-12-10,7,133,400,1148,1,120,16320,326.4,Active (0-30d),0,76.5,SUP-10
2023-01-01,RM006,Maltodextrin,Raw Material,Pune WH,454,30.88,36,2022-11-26,11,169,508,926,1,120,54480,1089.6,Slow (31-60d),0,8.4,SUP-01
2023-01-01,RM007,Natural Flavors,Ingredient,Bangalore WH,229,2.3,167,2022-07-18,7,8,24,69,0,2200,503800,10076.0,Dead (90+d),1,0.0,SUP-08
2023-01-01,RM007,Natural Flavors,Ingredient,Delhi WH,338,1.76,130,2022-08-24,11,9,28,52,0,2200,743600,14872.0,Dead (90+d),1,0.0,SUP-04
2023-01-01,RM007,Natural Flavors,Ingredient,Mumbai WH,143,1.03,173,2022-07-12,13,6,19,31,0,2200,314600,6292.0,Dead (90+d),1,0.0,SUP-04
2023-01-01,RM007,Natural Flavors,Ingredient,Pune WH,374,2.28,33,2022-11-29,8,9,27,68,0,2200,822800,16456.0,Slow (31-60d),0,0.0,SUP-01
2023-01-01,RM008,Sucralose,Ingredient,Bangalore WH,92,0.91,73,2022-10-20,20,9,27,27,0,3400,312800,6256.0,Very Slow (61-90d),0,0.0,SUP-02
2023-01-01,RM008,Sucralose,Ingredient,Delhi WH,740,1.44,130,2022-08-24,14,10,30,43,0,3400,2516000,50320.0,Dead (90+d),1,0.0,SUP-10
2023-01-01,RM008,Sucralose,Ingredient,Mumbai WH,209,1.36,113,2022-09-10,7,4,13,40,0,3400,710600,14212.0,Dead (90+d),1,0.0,SUP-01
2023-01-01,RM008,Sucralose,Ingredient,Pune WH,302,1.0,64,2022-10-29,16,8,24,30,0,3400,1026800,20536.0,Very Slow (61-90d),0,0.0,SUP-10
2023-01-01,RM009,Vitamin Premix,Ingredient,Bangalore WH,476,14.21,23,2022-12-09,22,156,468,426,0,1800,856800,17136.0,Active (0-30d),0,0.0,SUP-04
2023-01-01,RM009,Vitamin Premix,Ingredient,Delhi WH,432,11.41,35,2022-11-27,10,57,171,342,0,1800,777600,15552.0,Slow (31-60d),0,0.0,SUP-10
2023-01-01,RM009,Vitamin Premix,Ingredient,Mumbai WH,437,11.97,40,2022-11-22,24,143,430,359,0,1800,786600,15732.0,Slow (31-60d),0,0.0,SUP-11
2023-01-01,RM009,Vitamin Premix,Ingredient,Pune WH,115,14.64,23,2022-12-09,18,131,394,439,1,1800,207000,4140.0,Active (0-30d),0,30.2,SUP-01
2023-01-01,RM010,Packaging Material,Packaging,Bangalore WH,415,66.46,40,2022-11-22,20,664,1993,1993,1,180,74700,1494.0,Slow (31-60d),0,34.6,SUP-04
2023-01-01,RM010,Packaging Material,Packaging,Delhi WH,81,65.77,19,2022-12-13,23,756,2268,1973,1,180,14580,291.6,Active (0-30d),0,93.7,SUP-04
2023-01-01,RM010,Packaging Material,Packaging,Mumbai WH,544,63.4,22,2022-12-10,23,729,2187,1901,1,180,97920,1958.4,Active (0-30d),0,27.6,SUP-01
2023-01-01,RM010,Packaging Material,Packaging,Pune WH,525,53.3,15,2022-12-17,10,266,798,1598,1,180,94500,1890.0,Active (0-30d),0,25.4,SUP-05
2023-01-01,SP001,Soy Isolate 500g,Finished Good,Bangalore WH,162,3.13,91,2022-10-02,13,20,60,93,0,950,153900,3078.0,Dead (90+d),1,0.0,SUP-02
2023-01-01,SP001,Soy Isolate 500g,Finished Good,Delhi WH,283,1.58,88,2022-10-05,15,11,34,47,0,950,268850,5377.0,Very Slow (61-90d),0,0.0,SUP-04
2023-01-01,SP001,Soy Isolate 500g,Finished Good,Mumbai WH,308,1.2,132,2022-08-22,11,6,19,35,0,950,292600,5852.0,Dead (90+d),1,0.0,SUP-01
2023-01-01,SP001,Soy Isolate 500g,Finished Good,Pune WH,436,1.16,142,2022-08-12,23,13,39,34,0,950,414200,8284.0,Dead (90+d),1,0.0,SUP-02
2023-01-01,WP001,Whey Protein 1kg,Finished Good,Bangalore WH,150,33.02,21,2022-12-11,12,198,594,990,1,1800,270000,5400.0,Active (0-30d),0,58.6,SUP-02
2023-01-01,WP001,Whey Protein 1kg,Finished Good,Delhi WH,486,33.07,22,2022-12-10,10,165,495,992,1,1800,874800,17496.0,Active (0-30d),0,13.0,SUP-08
2023-01-01,WP001,Whey Protein 1kg,Finished Good,Mumbai WH,122,36.45,28,2022-12-04,13,236,709,1093,1,1800,219600,4392.0,Active (0-30d),0,79.6,SUP-10
2023-01-01,WP001,Whey Protein 1kg,Finished Good,Pune WH,211,48.17,20,2022-12-12,18,433,1300,1445,1,1800,379800,7596.0,Active (0-30d),0,61.5,SUP-09
2023-01-01,WP002,Whey Protein 2kg,Finished Good,Bangalore WH,293,35.43,3,2022-12-29,15,265,796,1062,1,3200,937600,18752.0,Active (0-30d),0,35.2,SUP-10
2023-01-01,WP002,Whey Protein 2kg,Finished Good,Delhi WH,586,34.05,2,2022-12-30,15,255,765,1021,1,3200,1875200,37504.0,Active (0-30d),0,16.7,SUP-07
2023-01-01,WP002,Whey Protein 2kg,Finished Good,Mumbai WH,580,29.88,26,2022-12-06,22,328,985,896,1,3200,1856000,37120.0,Active (0-30d),0,6.8,SUP-03
2023-01-01,WP002,Whey Protein 2kg,Finished Good,Pune WH,584,31.1,1,2022-12-31,13,202,606,932,1,3200,1868800,37376.0,Active (0-30d),0,15.6,SUP-08
2023-02-01,BC001,BCAA 300g,Finished Good,Bangalore WH,24,35.0,32,2022-12-31,21,367,1101,1049,1,1200,28800,576.0,Slow (31-60d),0,89.3,SUP-01
2023-02-01,BC001,BCAA 300g,Finished Good,Delhi WH,275,32.04,4,2023-01-28,24,384,1152,961,1,1200,330000,6600.0,Active (0-30d),0,33.5,SUP-11
2023-02-01,BC001,BCAA 300g,Finished Good,Mumbai WH,480,25.88,27,2023-01-05,9,116,348,776,0,1200,576000,11520.0,Active (0-30d),0,7.1,SUP-06
2023-02-01,BC001,BCAA 300g,Finished Good,Pune WH,301,38.46,24,2023-01-08,19,365,1095,1153,1,1200,361200,7224.0,Active (0-30d),0,30.2,SUP-01
2023-02-01,CB001,Casein Blend 1kg,Finished Good,Bangalore WH,575,2.31,110,2022-10-14,22,25,75,69,0,1600,920000,18400.0,Dead (90+d),1,0.0,SUP-06
2023-02-01,CB001,Casein Blend 1kg,Finished Good,Delhi WH,367,21.98,24,2023-01-08,12,131,394,659,1,1600,587200,11744.0,Active (0-30d),0,9.9,SUP-10
2023-02-01,CB001,Casein Blend 1kg,Finished Good,Mumbai WH,495,13.87,7,2023-01-25,7,48,145,416,0,1600,792000,15840.0,Active (0-30d),0,2.3,SUP-03
2023-02-01,CB001,Casein Blend 1kg,Finished Good,Pune WH,232,22.53,10,2023-01-22,24,270,810,675,1,1600,371200,7424.0,Active (0-30d),0,25.7,SUP-09
2023-02-01,CL001,Collagen Peptides 250g,Finished Good,Bangalore WH,164,21.35,20,2023-01-12,19,202,607,640,1,1450,237800,4756.0,Active (0-30d),0,32.1,SUP-04
2023-02-01,CL001,Collagen Peptides 250g,Finished Good,Delhi WH,456,25.55,22,2023-01-10,16,204,612,766,1,1450,661200,13224.0,Active (0-30d),0,9.4,SUP-03
2023-02-01,CL001,Collagen Peptides 250g,Finished Good,Mumbai WH,124,1.72,144,2022-09-10,12,10,30,51,0,1450,179800,3596.0,Dead (90+d),1,0.0,SUP-01
2023-02-01,CL001,Collagen Peptides 250g,Finished Good,Pune WH,465,24.27,0,2023-02-01,14,169,508,727,1,1450,674250,13485.0,Active (0-30d),0,15.6,SUP-07
2023-02-01,CR001,Creatine Monohydrate,Finished Good,Bangalore WH,45,29.59,35,2022-12-28,21,310,931,887,1,800,36000,720.0,Slow (31-60d),0,88.3,SUP-08
2023-02-01,CR001,Creatine Monohydrate,Finished Good,Delhi WH,268,18.73,21,2023-01-11,22,205,616,561,1,800,214400,4288.0,Active (0-30d),0,13.9,SUP-01
2023-02-01,CR001,Creatine Monohydrate,Finished Good,Mumbai WH,65,19.43,33,2022-12-30,15,145,436,582,1,800,52000,1040.0,Slow (31-60d),0,77.3,SUP-10
2023-02-01,CR001,Creatine Monohydrate,Finished Good,Pune WH,545,28.9,25,2023-01-07,8,115,346,866,0,800,436000,8720.0,Active (0-30d),0,7.5,SUP-10
2023-02-01,EW001,Egg White Protein 1kg,Finished Good,Bangalore WH,450,0.2,158,2022-08-27,8,0,1,5,0,1900,855000,17100.0,Dead (90+d),1,0.0,SUP-06
2023-02-01,EW001,Egg White Protein 1kg,Finished Good,Delhi WH,155,1.86,80,2022-11-13,16,14,43,55,0,1900,294500,5890.0,Very Slow (61-90d),0,0.0,SUP-08
2023-02-01,EW001,Egg White Protein 1kg,Finished Good,Mumbai WH,484,1.59,81,2022-11-12,21,16,49,47,0,1900,919600,18392.0,Very Slow (61-90d),0,0.0,SUP-07
2023-02-01,EW001,Egg White Protein 1kg,Finished Good,Pune WH,102,1.74,155,2022-08-30,21,18,54,52,0,1900,193800,3876.0,Dead (90+d),1,0.0,SUP-09
2023-02-01,MG001,Mass Gainer 3kg,Finished Good,Bangalore WH,112,9.64,31,2023-01-01,11,53,159,289,1,4200,470400,9408.0,Slow (31-60d),0,15.3,SUP-02
2023-02-01,MG001,Mass Gainer 3kg,Finished Good,Delhi WH,379,10.89,3,2023-01-29,9,48,145,326,0,4200,1591800,31836.0,Active (0-30d),0,4.4,SUP-11
2023-02-01,MG001,Mass Gainer 3kg,Finished Good,Mumbai WH,202,9.49,15,2023-01-17,14,66,198,284,0,4200,848400,16968.0,Active (0-30d),0,9.0,SUP-04
2023-02-01,MG001,Mass Gainer 3kg,Finished Good,Pune WH,553,12.35,20,2023-01-12,18,111,333,370,0,4200,2322600,46452.0,Active (0-30d),0,0.0,SUP-10
2023-02-01,PP001,Plant Protein 1kg,Finished Good,Bangalore WH,392,28.06,7,2023-01-25,14,196,588,841,1,1750,686000,13720.0,Active (0-30d),0,19.1,SUP-10
2023-02-01,PP001,Plant Protein 1kg,Finished Good,Delhi WH,31,44.46,9,2023-01-23,18,400,1200,1333,1,1750,54250,1085.0,Active (0-30d),0,97.0,SUP-08
2023-02-01,PP001,Plant Protein 1kg,Finished Good,Mumbai WH,324,30.68,13,2023-01-19,9,138,414,920,1,1750,567000,11340.0,Active (0-30d),0,24.0,SUP-07
2023-02-01,PP001,Plant Protein 1kg,Finished Good,Pune WH,335,26.13,27,2023-01-05,23,300,901,783,1,1750,586250,11725.0,Active (0-30d),0,14.3,SUP-09
2023-02-01,RM001,Whey Concentrate WPC,Raw Material,Bangalore WH,58,49.61,16,2023-01-16,18,446,1339,1488,1,850,49300,986.0,Active (0-30d),0,94.7,SUP-09
2023-02-01,RM001,Whey Concentrate WPC,Raw Material,Delhi WH,525,61.17,37,2022-12-26,11,336,1008,1835,1,850,446250,8925.0,Slow (31-60d),0,22.6,SUP-10
2023-02-01,RM001,Whey Concentrate WPC,Raw Material,Mumbai WH,545,66.74,6,2023-01-26,17,567,1701,2002,1,850,463250,9265.0,Active (0-30d),0,34.7,SUP-02
2023-02-01,RM001,Whey Concentrate WPC,Raw Material,Pune WH,164,63.37,12,2023-01-20,9,285,855,1901,1,850,139400,2788.0,Active (0-30d),0,96.0,SUP-09
2023-02-01,RM002,Casein Powder,Raw Material,Bangalore WH,301,18.63,33,2022-12-30,12,111,334,558,1,920,276920,5538.4,Slow (31-60d),0,7.5,SUP-05
2023-02-01,RM002,Casein Powder,Raw Material,Delhi WH,388,17.08,43,2022-12-20,12,102,307,512,0,920,356960,7139.2,Slow (31-60d),0,0.0,SUP-04
2023-02-01,RM002,Casein Powder,Raw Material,Mumbai WH,128,16.55,17,2023-01-15,8,66,198,496,1,920,117760,2355.2,Active (0-30d),0,32.8,SUP-08
2023-02-01,RM002,Casein Powder,Raw Material,Pune WH,396,15.5,32,2022-12-31,12,92,277,464,0,920,364320,7286.4,Slow (31-60d),0,1.0,SUP-07
2023-02-01,RM003,Soy Protein Isolate,Raw Material,Bangalore WH,517,5.39,104,2022-10-20,23,62,186,161,0,780,403260,8065.2,Dead (90+d),1,0.0,SUP-08
2023-02-01,RM003,Soy Protein Isolate,Raw Material,Delhi WH,292,3.35,60,2022-12-03,12,20,60,100,0,780,227760,4555.2,Slow (31-60d),0,0.0,SUP-02
2023-02-01,RM003,Soy Protein Isolate,Raw Material,Mumbai WH,673,5.33,33,2022-12-30,15,39,118,159,0,780,524940,10498.8,Slow (31-60d),0,0.0,SUP-07
2023-02-01,RM003,Soy Protein Isolate,Raw Material,Pune WH,623,3.91,108,2022-10-16,19,37,111,117,0,780,485940,9718.8,Dead (90+d),1,0.0,SUP-05
2023-02-01,RM004,BCAA Powder Bulk,Raw Material,Bangalore WH,158,16.06,35,2022-12-28,12,96,288,481,1,1100,173800,3476.0,Slow (31-60d),0,18.6,SUP-02
2023-02-01,RM004,BCAA Powder Bulk,Raw Material,Delhi WH,132,13.84,11,2023-01-21,12,83,249,415,1,1100,145200,2904.0,Active (0-30d),0,27.6,SUP-05
2023-02-01,RM004,BCAA Powder Bulk,Raw Material,Mumbai WH,345,16.1,25,2023-01-07,7,56,168,482,0,1100,379500,7590.0,Active (0-30d),0,5.6,SUP-04
2023-02-01,RM004,BCAA Powder Bulk,Raw Material,Pune WH,29,13.28,4,2023-01-28,19,126,378,398,1,1100,31900,638.0,Active (0-30d),0,98.7,SUP-08
2023-02-01,RM005,Collagen Hydrolysate,Raw Material,Bangalore WH,383,3.19,146,2022-09-08,18,28,85,95,0,650,248950,4979.0,Dead (90+d),1,0.0,SUP-03
2023-02-01,RM005,Collagen Hydrolysate,Raw Material,Delhi WH,599,1.32,123,2022-10-01,18,11,34,39,0,650,389350,7787.0,Dead (90+d),1,0.0,SUP-02
2023-02-01,RM005,Collagen Hydrolysate,Raw Material,Mumbai WH,691,1.76,113,2022-10-11,23,20,60,52,0,650,449150,8983.0,Dead (90+d),1,0.0,SUP-09
2023-02-01,RM005,Collagen Hydrolysate,Raw Material,Pune WH,596,3.22,30,2023-01-02,14,22,67,96,0,650,387400,7748.0,Active (0-30d),0,0.0,SUP-11
2023-02-01,RM006,Maltodextrin,Raw Material,Bangalore WH,108,47.6,17,2023-01-15,20,475,1426,1427,1,120,12960,259.2,Active (0-30d),0,94.3,SUP-03
2023-02-01,RM006,Maltodextrin,Raw Material,Delhi WH,398,40.55,13,2023-01-19,19,385,1155,1216,1,120,47760,955.2,Active (0-30d),0,26.2,SUP-10
2023-02-01,RM006,Maltodextrin,Raw Material,Mumbai WH,248,47.19,13,2023-01-19,11,259,778,1415,1,120,29760,595.2,Active (0-30d),0,52.5,SUP-05
2023-02-01,RM006,Maltodextrin,Raw Material,Pune WH,441,45.94,32,2022-12-31,23,528,1584,1378,1,120,52920,1058.4,Slow (31-60d),0,20.5,SUP-01
2023-02-01,RM007,Natural Flavors,Ingredient,Bangalore WH,527,2.61,67,2022-11-26,7,9,27,78,0,2200,1159400,23188.0,Very Slow (61-90d),0,0.0,SUP-04
2023-02-01,RM007,Natural Flavors,Ingredient,Delhi WH,628,2.55,164,2022-08-21,21,26,79,76,0,2200,1381600,27632.0,Dead (90+d),1,0.0,SUP-01
2023-02-01,RM007,Natural Flavors,Ingredient,Mumbai WH,552,2.98,82,2022-11-11,12,17,52,89,0,2200,1214400,24288.0,Very Slow (61-90d),0,0.0,SUP-06
2023-02-01,RM007,Natural Flavors,Ingredient,Pune WH,647,2.63,95,2022-10-29,7,9,27,78,0,2200,1423400,28468.0,Dead (90+d),1,0.0,SUP-06
2023-02-01,RM008,Sucralose,Ingredient,Bangalore WH,332,1.74,98,2022-10-26,14,12,36,52,0,3400,1128800,22576.0,Dead (90+d),1,0.0,SUP-06
2023-02-01,RM008,Sucralose,Ingredient,Delhi WH,310,1.11,76,2022-11-17,10,5,16,33,0,3400,1054000,21080.0,Very Slow (61-90d),0,0.0,SUP-04
2023-02-01,RM008,Sucralose,Ingredient,Mumbai WH,208,1.77,76,2022-11-17,21,18,55,53,0,3400,707200,14144.0,Very Slow (61-90d),0,0.0,SUP-08
2023-02-01,RM008,Sucralose,Ingredient,Pune WH,183,1.19,52,2022-12-11,18,10,31,35,0,3400,622200,12444.0,Slow (31-60d),0,0.0,SUP-10
2023-02-01,RM009,Vitamin Premix,Ingredient,Bangalore WH,146,13.95,41,2022-12-22,15,104,313,418,1,1800,262800,5256.0,Slow (31-60d),0,14.8,SUP-06
2023-02-01,RM009,Vitamin Premix,Ingredient,Delhi WH,479,12.47,43,2022-12-20,11,68,205,374,0,1800,862200,17244.0,Slow (31-60d),0,0.0,SUP-08
2023-02-01,RM009,Vitamin Premix,Ingredient,Mumbai WH,160,12.04,39,2022-12-24,21,126,378,361,1,1800,288000,5760.0,Slow (31-60d),0,9.4,SUP-08
2023-02-01,RM009,Vitamin Premix,Ingredient,Pune WH,70,9.15,28,2023-01-04,17,77,232,274,1,1800,126000,2520.0,Active (0-30d),0,29.3,SUP-07
2023-02-01,RM010,Packaging Material,Packaging,Bangalore WH,455,49.51,25,2023-01-07,17,420,1261,1485,1,180,81900,1638.0,Active (0-30d),0,24.2,SUP-06
2023-02-01,RM010,Packaging Material,Packaging,Delhi WH,586,58.56,39,2022-12-24,15,439,1317,1756,1,180,105480,2109.6,Slow (31-60d),0,16.9,SUP-10
2023-02-01,RM010,Packaging Material,Packaging,Mumbai WH,424,66.18,25,2023-01-07,7,231,694,1985,1,180,76320,1526.4,Active (0-30d),0,38.4,SUP-06
2023-02-01,RM010,Packaging Material,Packaging,Pune WH,405,49.95,6,2023-01-26,23,574,1722,1498,1,180,72900,1458.0,Active (0-30d),0,34.9,SUP-11
2023-02-01,SP001,Soy Isolate 500g,Finished Good,Bangalore WH,256,2.33,114,2022-10-10,13,15,45,70,0,950,243200,4864.0,Dead (90+d),1,0.0,SUP-06
2023-02-01,SP001,Soy Isolate 500g,Finished Good,Delhi WH,285,1.01,162,2022-08-23,23,11,34,30,0,950,270750,5415.0,Dead (90+d),1,0.0,SUP-07
2023-02-01,SP001,Soy Isolate 500g,Finished Good,Mumbai WH,203,2.8,147,2022-09-07,7,9,28,83,0,950,192850,3857.0,Dead (90+d),1,0.0,SUP-06
