date,product,region,seasonality_factor,promotion,stockout,shock_event,units_sold,price_per_unit,revenue
2025-04-23,Product_9,North,1.0,1,1,0,35,269.36,9427.6
2025-11-22,Product_4,North,1.3,0,0,0,256,214.35,54873.6
2025-02-10,Product_2,West,1.3,0,0,0,176,219.01,38545.759999999995
2024-04-14,Product_6,South,1.0,0,0,0,175,276.38,48366.5
2024-11-28,Product_4,East,1.3,0,0,1,545,84.79,46210.55
2025-03-12,Product_6,East,1.0,0,0,1,737,357.04,263138.48000000004
2025-10-17,Product_3,East,1.0,0,0,0,71,208.18,14780.78
2025-03-06,Product_6,South,1.0,0,0,0,235,151.14,35517.899999999994
2024-07-01,Product_2,East,1.0,0,0,0,117,175.25,20504.25
2025-04-02,Product_2,East,1.0,0,0,0,270,131.13,35405.1
2025-06-29,Product_9,West,1.0,0,0,0,93,455.71,42381.03
2025-06-02,Product_7,South,1.0,0,1,0,24,126.07,3025.68
2025-08-22,Product_3,North,1.0,0,0,0,126,447.32,56362.32
2024-05-05,Product_1,West,1.0,0,0,0,91,307.51,27983.41
2024-10-23,Product_8,West,1.0,0,0,0,186,440.35,81905.1
2024-06-20,Product_6,North,1.0,1,0,0,354,263.33,93218.81999999999
2025-10-14,Product_7,West,1.0,0,0,0,144,467.44,67311.36
2025-04-23,Product_9,South,1.0,0,0,0,184,145.17,26711.28
2024-04-02,Product_5,East,1.0,1,0,0,273,299.61,81793.53
2025-04-25,Product_1,South,1.0,0,0,0,196,106.63,20899.48
2025-10-18,Product_10,North,1.0,1,0,0,626,251.25,157282.5
2024-07-15,Product_7,North,1.0,0,0,0,271,306.46,83050.65999999999
2025-07-21,Product_5,West,1.0,0,0,0,208,322.55,67090.40000000001
2026-03-04,Product_3,South,1.0,0,0,0,177,214.49,37964.73
2025-05-07,Product_9,South,1.0,0,0,0,212,84.35,17882.199999999997
2026-03-31,Product_1,North,1.0,0,0,0,234,344.9,80706.59999999999
2025-10-08,Product_1,South,1.0,0,0,0,134,269.79,36151.86
2024-09-09,Product_1,North,1.0,0,0,0,238,111.6,26560.8
2024-10-19,Product_3,South,1.0,1,0,1,1508,471.14,710479.12
2024-12-26,Product_6,South,1.3,0,1,0,51,480.05,24482.55
2024-12-27,Product_10,South,1.3,0,0,0,187,435.47,81432.89
2025-06-30,Product_3,North,1.0,0,0,0,230,429.74,98840.2
2025-07-06,Product_8,West,1.0,0,0,1,231,94.4,21806.4
2026-03-28,Product_10,South,1.0,1,0,0,256,497.04,127242.24
2024-12-08,Product_2,North,1.3,0,0,0,306,230.17,70432.01999999999
2026-03-03,Product_9,North,1.0,0,0,0,165,123.4,20361.0
2025-01-21,Product_3,South,1.3,0,0,1,698,415.45,289984.1
2026-03-26,Product_5,South,1.0,0,0,0,179,151.58,27132.820000000003
2026-03-21,Product_10,West,1.0,1,1,0,167,286.78,47892.259999999995
2025-03-04,Product_8,North,1.0,0,0,0,109,107.61,11729.49
2024-05-23,Product_2,North,1.0,0,0,0,265,263.59,69851.34999999999
2024-11-03,Product_6,East,1.3,1,0,0,213,301.16,64147.08
2024-10-05,Product_5,North,1.0,1,0,0,346,250.67,86731.81999999999
2025-04-15,Product_10,West,1.0,0,0,0,193,81.27,15685.109999999999
2025-08-06,Product_9,East,1.0,0,0,0,65,268.22,17434.300000000003
2024-05-11,Product_5,East,1.0,0,0,1,245,261.02,63949.899999999994
2024-09-04,Product_2,East,1.0,0,0,0,216,167.73,36229.68
2024-04-15,Product_5,South,1.0,1,0,0,710,464.72,329951.2
2024-06-04,Product_4,South,1.0,0,0,0,208,238.01,49506.08
2025-09-03,Product_7,North,1.0,0,0,0,156,438.85,68460.6
2025-03-10,Product_6,East,1.0,0,0,0,137,99.35,13610.949999999999
2024-08-07,Product_2,West,1.0,0,0,0,178,193.49,34441.22
2026-01-08,Product_5,South,1.3,0,0,0,244,129.35,31561.399999999998
2025-07-16,Product_7,West,1.0,0,0,1,444,233.78,103798.32
2024-06-02,Product_7,West,1.0,0,0,0,134,100.24,13432.16
2024-08-17,Product_5,South,1.0,0,0,0,53,248.47,13168.91
2025-08-12,Product_9,South,1.0,0,1,0,36,209.24,7532.64
2025-11-14,Product_4,South,1.3,0,0,0,263,150.49,39578.87
2025-04-27,Product_3,South,1.0,0,0,0,160,338.98,54236.8
2026-02-04,Product_4,East,1.3,0,0,0,128,477.91,61172.48
2025-05-24,Product_5,East,1.0,0,0,0,189,143.2,27064.8
2025-01-14,Product_6,East,1.3,0,1,0,56,370.31,20737.36
2025-04-14,Product_3,East,1.0,0,0,0,258,384.07,99090.06
2025-08-03,Product_2,North,1.0,0,0,0,274,274.15,75117.09999999999
2024-11-17,Product_4,East,1.3,0,0,0,327,453.95,148441.65
2024-05-11,Product_5,South,1.0,1,0,0,325,484.88,157586.0
2024-04-28,Product_4,West,1.0,0,0,0,273,213.01,58151.729999999996
2024-08-13,Product_3,East,1.0,0,0,0,114,342.96,39097.439999999995
2024-10-18,Product_8,North,1.0,1,0,0,236,348.0,82128.0
2024-05-03,Product_10,South,1.0,0,0,0,269,231.64,62311.159999999996
2024-05-18,Product_4,West,1.0,0,0,0,230,192.56,44288.8
2025-08-16,Product_2,West,1.0,0,0,0,155,470.18,72877.9
2025-05-12,Product_2,East,1.0,1,1,0,179,405.49,72582.71
2025-10-26,Product_1,West,1.0,0,0,0,179,101.51,18170.29
2026-03-29,Product_4,East,1.0,0,0,0,155,103.95,16112.25
2024-07-08,Product_10,East,1.0,0,0,0,73,465.14,33955.22
2026-02-13,Product_9,South,1.3,1,0,0,145,86.63,12561.349999999999
2026-03-27,Product_7,South,1.0,0,0,0,157,359.79,56487.030000000006
2025-09-29,Product_10,North,1.0,0,0,0,68,152.04,10338.72
2025-12-04,Product_7,South,1.3,0,0,0,263,65.83,17313.29
2025-07-06,Product_7,South,1.0,0,0,0,252,76.84,19363.68
2026-01-03,Product_8,East,1.3,0,0,0,115,218.08,25079.2
2024-04-05,Product_1,South,1.0,0,0,0,99,84.91,8406.09
2024-11-04,Product_10,East,1.3,1,0,0,675,318.49,214980.75
2025-08-16,Product_10,East,1.0,0,0,0,124,341.26,42316.24
2025-05-03,Product_8,South,1.0,0,0,0,286,218.06,62365.16
2025-04-28,Product_4,North,1.0,0,0,0,244,384.3,93769.2
2024-10-24,Product_4,North,1.0,0,0,0,61,270.52,16501.719999999998
2024-04-15,Product_4,West,1.0,0,0,0,244,243.6,59438.4
2025-10-06,Product_6,West,1.0,0,0,0,283,233.14,65978.62
2025-07-05,Product_7,South,1.0,0,0,0,76,244.0,18544.0
2026-02-20,Product_6,North,1.3,0,0,1,661,485.55,320948.55
2025-10-27,Product_1,East,1.0,0,0,0,231,356.63,82381.53
2024-11-27,Product_8,West,1.3,1,0,0,672,191.84,128916.48
2025-10-16,Product_10,East,1.0,1,1,0,71,380.24,26997.04
2024-07-05,Product_7,West,1.0,0,0,0,193,198.62,38333.66
2025-07-29,Product_6,South,1.0,0,0,0,179,106.57,19076.03
2025-05-12,Product_6,North,1.0,0,0,0,109,263.91,28766.190000000002
2024-11-17,Product_5,West,1.3,1,0,0,705,387.96,273511.8
2026-01-15,Product_6,North,1.3,0,0,0,102,219.95,22434.899999999998
2024-09-18,Product_9,East,1.0,1,0,0,319,441.13,140720.47
2025-09-23,Product_10,South,1.0,0,0,0,215,224.13,48187.95
2024-05-06,Product_9,North,1.0,1,0,0,189,207.43,39204.270000000004
2025-09-07,Product_10,South,1.0,1,0,0,179,499.21,89358.59
2024-09-07,Product_8,North,1.0,1,0,0,324,267.11,86543.64
2026-02-28,Product_10,East,1.3,0,0,0,226,412.35,93191.1
2024-11-29,Product_9,East,1.3,0,0,0,76,412.24,31330.24
2024-06-25,Product_10,South,1.0,0,0,0,237,466.87,110648.19
2025-10-30,Product_8,East,1.0,0,0,0,91,88.2,8026.2
2026-02-11,Product_8,West,1.3,0,0,0,115,172.05,19785.75
2025-10-09,Product_1,North,1.0,0,1,0,82,395.49,32430.18
2025-10-26,Product_10,East,1.0,0,0,0,126,303.17,38199.420000000006
2026-01-06,Product_5,West,1.3,0,0,0,386,301.83,116506.37999999999
2024-04-28,Product_4,South,1.0,0,0,0,154,124.8,19219.2
2025-12-11,Product_2,West,1.3,0,0,0,217,176.52,38304.840000000004
2025-10-08,Product_8,South,1.0,1,0,0,202,284.6,57489.200000000004
2025-03-06,Product_3,South,1.0,0,0,0,96,174.73,16774.079999999998
2025-02-25,Product_4,North,1.3,0,0,0,278,144.63,40207.14
2025-12-31,Product_7,North,1.3,0,1,0,114,89.49,10201.859999999999
2025-08-19,Product_10,West,1.0,1,0,0,557,120.08,66884.56
2025-03-14,Product_9,North,1.0,0,0,0,286,395.99,113253.14
2025-07-17,Product_2,North,1.0,0,1,0,21,373.45,7842.45
2024-11-17,Product_3,North,1.3,0,0,0,304,70.63,21471.519999999997
2024-10-07,Product_4,West,1.0,0,0,0,261,141.48,36926.28
2024-11-11,Product_10,East,1.3,0,0,0,378,302.2,114231.59999999999
2025-04-20,Product_1,North,1.0,1,0,0,374,195.18,72997.32
2025-04-12,Product_7,North,1.0,1,0,0,184,420.46,77364.64
2025-01-08,Product_2,West,1.3,0,0,0,117,403.25,47180.25
2025-12-24,Product_5,East,1.3,0,0,0,167,451.21,75352.06999999999
2025-12-19,Product_1,North,1.3,0,0,0,274,303.32,83109.68
2024-12-15,Product_3,South,1.3,0,0,0,271,208.43,56484.53
2025-03-25,Product_2,West,1.0,0,0,0,267,322.73,86168.91
2026-03-11,Product_1,North,1.0,0,0,0,138,90.11,12435.18
2025-06-30,Product_7,North,1.0,1,0,0,270,54.31,14663.7
2025-05-16,Product_5,South,1.0,1,0,0,149,57.69,8595.81
2026-01-09,Product_1,South,1.3,0,0,0,282,233.39,65815.98
2025-02-12,Product_6,West,1.3,0,0,1,475,152.63,72499.25
2026-02-06,Product_5,West,1.3,0,0,0,162,120.8,19569.6
2024-11-11,Product_3,South,1.3,0,0,0,180,326.9,58841.99999999999
2024-11-20,Product_7,West,1.3,0,0,0,325,497.79,161781.75
2026-02-13,Product_10,South,1.3,0,1,0,22,129.99,2859.78
2026-01-24,Product_9,North,1.3,1,0,0,427,295.89,126345.03
2025-04-09,Product_9,South,1.0,0,0,1,770,103.88,79987.59999999999
2026-02-01,Product_9,South,1.3,0,0,0,357,470.41,167936.37
2025-11-29,Product_2,East,1.3,0,0,0,292,181.29,52936.68
2025-07-16,Product_3,South,1.0,0,0,0,69,445.25,30722.25
2024-11-19,Product_7,South,1.3,0,0,0,114,177.38,20221.32
2026-02-21,Product_5,East,1.3,0,0,0,141,412.72,58193.520000000004
2024-07-22,Product_2,West,1.0,0,0,0,115,144.22,16585.3
2025-08-10,Product_3,East,1.0,0,0,0,114,181.76,20720.64
2025-06-16,Product_10,North,1.0,0,0,0,228,136.61,31147.08
2025-10-16,Product_6,East,1.0,1,0,0,364,168.92,61486.88
2024-12-24,Product_7,North,1.3,0,0,0,276,425.69,117490.44
2025-08-23,Product_9,West,1.0,0,0,0,201,337.56,67849.56
2025-04-21,Product_1,East,1.0,0,0,0,295,232.65,68631.75
2025-04-22,Product_7,East,1.0,0,0,0,204,487.18,99384.72
2024-07-22,Product_8,West,1.0,0,0,0,179,259.19,46395.01
2025-12-04,Product_3,North,1.3,1,0,0,595,486.39,289402.05
2025-12-16,Product_4,East,1.3,1,0,0,336,138.46,46522.560000000005
2024-06-20,Product_10,North,1.0,0,0,0,127,457.09,58050.43
2026-02-28,Product_6,East,1.3,0,0,0,315,56.22,17709.3
2024-07-22,Product_10,South,1.0,0,0,0,78,295.39,23040.42
2024-04-02,Product_7,East,1.0,0,0,0,64,240.37,15383.68
2026-01-02,Product_4,West,1.3,0,0,0,79,286.29,22616.91
2024-11-06,Product_8,West,1.3,0,0,0,195,299.05,58314.75
2025-10-18,Product_5,North,1.0,0,0,0,205,225.06,46137.3
2024-11-11,Product_1,East,1.3,0,0,0,172,499.19,85860.68
2025-04-20,Product_4,North,1.0,0,0,0,174,489.43,85160.82
2025-05-08,Product_3,North,1.0,1,0,0,327,482.79,157872.33000000002
2025-12-29,Product_9,South,1.3,0,0,0,94,490.59,46115.46
2024-08-08,Product_8,South,1.0,0,0,0,198,406.86,80558.28
2024-05-23,Product_1,West,1.0,0,0,0,187,494.87,92540.69
2026-02-13,Product_6,North,1.3,0,0,0,206,451.56,93021.36
2026-03-31,Product_9,West,1.0,0,0,0,127,237.17,30120.59
2026-02-01,Product_7,East,1.3,0,0,0,195,403.15,78614.25
2026-03-11,Product_4,North,1.0,1,0,0,456,460.43,209956.08000000002
2025-05-21,Product_1,North,1.0,0,0,0,265,370.67,98227.55
2024-12-03,Product_2,East,1.3,0,0,0,248,240.25,59582.0
2025-06-13,Product_5,East,1.0,0,0,0,211,79.61,16797.71
2024-10-20,Product_5,West,1.0,0,0,1,554,414.36,229555.44
2024-10-01,Product_8,West,1.0,0,0,0,107,478.73,51224.11
2024-08-01,Product_6,East,1.0,1,0,0,270,213.11,57539.700000000004
2025-05-06,Product_8,West,1.0,0,0,0,199,118.36,23553.64
2025-01-19,Product_2,East,1.3,0,0,1,1087,196.93,214062.91
2025-01-05,Product_3,North,1.3,0,0,1,1120,312.18,349641.60000000003
2025-12-01,Product_6,North,1.3,0,0,0,110,192.62,21188.2
2024-10-15,Product_10,South,1.0,1,0,0,522,324.78,169535.15999999997
2025-08-24,Product_3,North,1.0,1,0,0,480,485.08,232838.4
2024-08-22,Product_6,East,1.0,0,0,0,71,351.83,24979.93
2025-11-30,Product_6,West,1.3,0,0,0,331,213.2,70569.2
2024-10-18,Product_2,South,1.0,0,1,0,52,471.09,24496.68
2024-08-02,Product_7,West,1.0,0,0,0,129,304.54,39285.66
2024-10-04,Product_2,East,1.0,1,0,0,574,107.77,61859.979999999996
2025-02-20,Product_6,North,1.3,0,0,0,193,274.54,52986.22
2025-07-08,Product_1,South,1.0,0,0,0,233,344.14,80184.62
2025-03-15,Product_3,East,1.0,0,0,0,266,427.21,113637.86
2026-01-20,Product_2,South,1.3,1,0,0,420,471.41,197992.2
2025-05-08,Product_7,South,1.0,0,0,0,210,192.84,40496.4
2025-03-12,Product_4,North,1.0,0,0,0,222,119.98,26635.56
2025-08-24,Product_8,East,1.0,0,0,0,213,83.22,17725.86
2024-08-25,Product_6,West,1.0,1,1,0,134,382.26,51222.84
2024-08-26,Product_10,South,1.0,0,0,0,67,407.82,27323.94
2026-03-12,Product_4,South,1.0,0,0,0,87,234.22,20377.14
2025-08-02,Product_5,West,1.0,0,0,0,244,228.17,55673.479999999996
2025-12-31,Product_9,East,1.3,0,0,0,260,479.41,124646.6
2025-10-03,Product_7,South,1.0,0,0,0,273,462.51,126265.23
2025-03-04,Product_10,South,1.0,1,0,0,333,154.97,51605.01
2026-01-01,Product_9,South,1.3,0,0,0,223,401.36,89503.28
2025-07-17,Product_7,East,1.0,0,1,0,57,330.22,18822.54
2024-08-29,Product_1,East,1.0,0,0,0,236,119.4,28178.4
2025-05-20,Product_8,West,1.0,0,0,0,246,210.55,51795.3
2025-01-23,Product_4,East,1.3,1,1,0,238,129.86,30906.680000000004
2025-12-02,Product_3,East,1.3,0,0,0,257,182.82,46984.74
2024-12-19,Product_7,North,1.3,0,0,0,198,326.89,64724.219999999994
2024-08-22,Product_3,West,1.0,0,0,0,292,218.87,63910.04
2025-03-12,Product_8,South,1.0,0,0,0,255,227.33,57969.15
2025-12-15,Product_6,East,1.3,0,1,0,109,292.84,31919.559999999998
2025-10-24,Product_5,South,1.0,0,0,0,272,89.25,24276.0
2024-04-02,Product_4,South,1.0,0,0,0,255,382.46,97527.29999999999
2025-01-29,Product_8,North,1.3,0,0,0,321,230.77,74077.17
2024-12-10,Product_8,East,1.3,0,0,0,245,266.18,65214.1
2026-01-12,Product_1,West,1.3,0,0,0,250,488.43,122107.5
2025-06-27,Product_9,East,1.0,1,0,0,290,204.97,59441.3
2024-05-07,Product_5,South,1.0,0,1,0,85,341.7,29044.5
2024-09-07,Product_4,West,1.0,0,0,0,136,226.63,30821.68
2024-04-09,Product_6,East,1.0,0,0,0,191,452.43,86414.13
2024-11-19,Product_6,South,1.3,0,0,0,143,431.04,61638.72
2024-07-08,Product_2,South,1.0,0,0,0,248,158.73,39365.04
2026-01-19,Product_8,North,1.3,0,0,0,123,361.29,44438.670000000006
2024-10-25,Product_7,North,1.0,0,0,0,81,79.33,6425.73
2024-08-09,Product_1,North,1.0,1,0,0,143,483.43,69130.49
2025-05-09,Product_5,South,1.0,0,0,0,93,207.05,19255.65
2024-08-30,Product_6,East,1.0,0,0,0,194,424.33,82320.02
2024-05-24,Product_4,North,1.0,0,0,0,218,193.29,42137.22
2024-07-29,Product_2,East,1.0,0,0,0,103,334.75,34479.25
2026-02-02,Product_4,North,1.3,0,0,0,374,492.62,184239.88
2025-12-19,Product_1,West,1.3,0,0,0,120,444.54,53344.8
2025-11-08,Product_7,West,1.3,0,0,0,191,122.16,23332.559999999998
2025-12-16,Product_2,North,1.3,1,0,0,154,296.37,45640.98
2025-05-25,Product_2,South,1.0,0,0,0,158,206.84,32680.72
2025-05-27,Product_9,North,1.0,0,0,1,225,245.45,55226.25
2024-07-13,Product_5,North,1.0,1,0,0,373,200.83,74909.59000000001
2024-12-10,Product_2,South,1.3,0,0,0,176,201.18,35407.68
2024-11-13,Product_9,West,1.3,0,0,0,198,294.15,58241.7
2024-07-21,Product_9,East,1.0,1,0,0,414,136.38,56461.32
2025-08-23,Product_1,North,1.0,0,0,0,255,291.83,74416.65
2025-07-17,Product_3,South,1.0,1,1,0,80,175.53,14042.4
2024-07-08,Product_4,North,1.0,0,0,0,92,180.04,16563.68
2024-08-31,Product_7,South,1.0,0,0,0,146,382.44,55836.24
2025-03-04,Product_10,East,1.0,1,0,0,688,63.32,43564.16
2026-03-07,Product_4,East,1.0,0,1,0,24,221.43,5314.32
2024-09-10,Product_2,West,1.0,0,0,0,148,233.39,34541.72
2026-03-21,Product_7,South,1.0,0,0,0,66,268.3,17707.8
2026-02-10,Product_6,South,1.3,1,0,0,766,351.05,268904.3
2024-09-08,Product_3,West,1.0,1,0,0,309,216.36,66855.24
2025-11-01,Product_6,West,1.3,0,1,0,61,145.91,8900.51
2025-05-03,Product_6,South,1.0,0,0,0,231,448.19,103531.89
2025-01-02,Product_5,West,1.3,1,0,0,753,491.47,370076.91000000003
2025-08-17,Product_4,East,1.0,0,1,0,79,59.01,4661.79
2025-04-27,Product_10,North,1.0,0,0,0,81,295.91,23968.710000000003
2024-08-13,Product_1,East,1.0,0,0,0,217,203.77,44218.090000000004
2024-10-12,Product_10,West,1.0,0,1,0,57,174.65,9955.050000000001
2025-05-06,Product_6,South,1.0,0,0,0,261,201.07,52479.27
2025-12-31,Product_2,South,1.3,0,0,0,109,337.49,36786.41
2024-05-03,Product_3,East,1.0,0,1,0,54,135.82,7334.28
2026-02-17,Product_8,South,1.3,1,0,0,689,460.79,317484.31
2025-07-04,Product_10,West,1.0,0,0,0,78,259.75,20260.5
2025-07-14,Product_6,East,1.0,0,0,0,119,196.51,23384.69
2025-04-10,Product_3,South,1.0,0,0,0,202,394.49,79686.98
2024-04-22,Product_7,North,1.0,0,0,0,144,57.36,8259.84
2026-01-30,Product_4,North,1.3,0,0,0,92,244.33,22478.36
2024-05-08,Product_9,West,1.0,0,0,0,243,209.89,51003.27
2024-11-16,Product_5,South,1.3,0,0,0,288,202.19,58230.72
2025-03-31,Product_3,West,1.0,1,0,0,271,201.68,54655.28
2025-10-15,Product_2,East,1.0,0,0,0,268,64.07,17170.76
2025-06-12,Product_2,North,1.0,0,0,0,138,118.45,16346.1
2025-01-08,Product_3,East,1.3,0,0,0,157,113.85,17874.45
2024-04-27,Product_2,South,1.0,1,0,0,636,494.87,314737.32
2024-11-12,Product_4,West,1.3,0,0,0,231,59.97,13853.07
2025-01-02,Product_2,West,1.3,0,0,0,339,125.18,42436.020000000004
2025-11-30,Product_10,West,1.3,0,0,0,287,488.38,140165.06
2025-01-09,Product_9,East,1.3,0,0,0,176,332.72,58558.72
2025-07-25,Product_2,North,1.0,0,0,0,145,252.8,36656.0
2025-06-27,Product_9,East,1.0,0,0,0,124,85.44,10594.56
2026-01-19,Product_6,East,1.3,1,0,1,2030,351.35,713240.5
2025-08-29,Product_1,South,1.0,1,0,0,623,112.01,69782.23
2025-09-29,Product_4,South,1.0,0,0,0,103,352.03,36259.09
2024-10-09,Product_1,South,1.0,1,0,0,291,490.63,142773.33
2024-05-19,Product_6,North,1.0,0,0,0,252,289.39,72926.28
2025-08-25,Product_4,North,1.0,0,0,0,206,146.34,30146.04
2024-04-17,Product_3,South,1.0,0,0,1,338,331.38,112006.44
2024-09-19,Product_3,South,1.0,0,0,0,267,280.82,74978.94
2024-11-06,Product_9,North,1.3,1,0,0,185,289.91,53633.350000000006
2024-09-05,Product_6,West,1.0,0,0,0,148,265.15,39242.2
2025-07-21,Product_9,North,1.0,0,0,0,69,353.18,24369.420000000002
2024-05-16,Product_5,North,1.0,0,0,0,95,307.38,29201.1
2025-04-08,Product_2,North,1.0,0,0,0,244,494.15,120572.59999999999
2025-08-31,Product_8,South,1.0,0,0,0,242,421.64,102036.87999999999
2024-07-08,Product_5,West,1.0,0,0,0,176,169.11,29763.36
2024-05-07,Product_2,North,1.0,0,0,0,107,376.59,40295.13
2025-01-05,Product_4,South,1.3,1,0,0,689,146.44,100897.16
2025-03-15,Product_9,East,1.0,1,0,0,342,402.06,137504.52
2025-08-10,Product_4,East,1.0,0,0,0,178,116.4,20719.2
2025-01-27,Product_4,North,1.3,1,0,0,389,263.1,102345.90000000001
2024-09-28,Product_2,East,1.0,0,0,0,243,405.77,98602.11
2025-11-28,Product_6,West,1.3,0,0,0,267,176.05,47005.350000000006
2024-07-08,Product_2,East,1.0,0,0,0,133,426.7,56751.1
2026-03-01,Product_7,East,1.0,0,0,0,119,339.87,40444.53
2024-07-25,Product_3,West,1.0,0,0,0,57,228.89,13046.73
2024-10-08,Product_3,North,1.0,0,0,0,78,240.54,18762.12
2024-12-09,Product_5,North,1.3,0,1,0,62,466.7,28935.399999999998
2024-09-08,Product_3,West,1.0,0,0,0,228,148.01,33746.28
2024-12-12,Product_2,West,1.3,0,0,0,273,362.01,98828.73
2025-02-17,Product_10,West,1.3,0,0,0,234,368.28,86177.51999999999
2024-08-06,Product_9,East,1.0,0,1,0,71,465.1,33022.1
2024-04-18,Product_2,West,1.0,0,0,0,212,370.92,78635.04000000001
2025-10-18,Product_2,South,1.0,0,0,0,246,313.01,77000.45999999999
2025-10-22,Product_8,East,1.0,0,0,0,268,456.14,122245.51999999999
2025-02-17,Product_9,North,1.3,0,0,0,204,423.11,86314.44
2026-02-15,Product_7,North,1.3,1,0,0,808,372.55,301020.4
2025-12-17,Product_3,North,1.3,0,0,0,339,64.66,21919.739999999998
2025-01-13,Product_9,East,1.3,0,0,1,648,218.08,141315.84
2026-01-23,Product_3,South,1.3,0,0,0,89,334.35,29757.15
2025-12-30,Product_5,West,1.3,1,0,0,338,285.01,96333.37999999999
2024-09-02,Product_9,West,1.0,0,0,0,216,193.69,41837.04
2025-08-03,Product_3,North,1.0,0,0,1,161,114.99,18513.39
2025-04-21,Product_7,North,1.0,1,0,0,678,298.85,202620.30000000002
2024-07-13,Product_1,East,1.0,0,0,0,295,178.66,52704.7
2025-04-28,Product_4,South,1.0,0,0,0,68,154.85,10529.8
2024-12-02,Product_4,West,1.3,0,0,0,196,229.53,44987.88
2024-09-23,Product_7,East,1.0,0,0,0,268,403.47,108129.96
2024-05-09,Product_8,West,1.0,0,0,0,222,269.53,59835.659999999996
2025-07-21,Product_1,North,1.0,0,0,0,220,147.42,32432.399999999998
2026-02-11,Product_5,West,1.3,0,0,1,686,102.61,70390.46
2025-09-20,Product_7,South,1.0,0,0,0,190,274.54,52162.600000000006
2025-05-13,Product_4,South,1.0,0,0,0,237,407.46,96568.01999999999
2025-09-07,Product_4,North,1.0,0,0,0,234,343.77,80442.18
2025-08-19,Product_4,South,1.0,0,0,0,135,154.47,20853.45
2024-05-06,Product_6,South,1.0,1,0,0,620,246.52,152842.4
