date,product,region,opening_cash,collections,payments,operating_cash_flow,capex,investments,investing_cash_flow,loans,dividends,financing_cash_flow,net_cash_flow,closing_cash
2024-04-08,Product_10,East,731089,226779,104262,122517,-28776,-18694,-47470,41373,-6776,34597,109644,840733
2024-04-09,Product_9,East,840733,101959,196602,-94643,-34320,797,-33523,-16252,-663,-16915,-145081,695652
2024-04-09,Product_6,West,695652,148840,178451,-29611,-44353,9235,-35118,32733,-7554,25179,-39550,656102
2024-04-09,Product_1,North,656102,173264,86736,86528,-33673,-15263,-48936,-19146,-8164,-27310,10282,666384
2024-04-09,Product_1,North,666384,130859,185657,-54798,-43559,6309,-37250,43734,-4931,38803,-53245,613139
2024-04-10,Product_8,East,613139,223760,85342,138418,-42157,-17673,-59830,32083,-7777,24306,102894,716033
2024-04-10,Product_6,South,716033,114698,170078,-55380,-20087,2671,-17416,5184,-9339,-4155,-76951,639082
2024-04-10,Product_6,West,639082,95708,151906,-56198,-7811,3482,-4329,14754,-8338,6416,-54111,584971
2024-04-11,Product_7,West,584971,219752,144896,74856,-23343,-14241,-37584,-8889,-4736,-13625,23647,608618
2024-04-11,Product_9,North,608618,192561,107254,85307,-26918,445,-26473,40713,-262,40451,99285,707903
2024-04-11,Product_10,West,707903,187512,171472,16040,-7049,-14577,-21626,932,-3108,-2176,-7762,700141
2024-04-11,Product_7,North,700141,87400,177858,-90458,-47642,-4849,-52491,31407,-1154,30253,-112696,587445
2024-04-12,Product_8,South,587445,206071,119040,87031,-17183,9299,-7884,-7126,-1648,-8774,70373,657818
2024-04-12,Product_8,West,657818,206063,193629,12434,-43360,-3518,-46878,-17800,-2961,-20761,-55205,602613
2024-04-12,Product_2,South,602613,82869,110108,-27239,-33643,4736,-28907,18467,-6944,11523,-44623,557990
2024-04-12,Product_5,West,557990,215059,118871,96188,-27399,-6554,-33953,24064,-4555,19509,81744,639734
2024-04-13,Product_3,South,639734,99830,197965,-98135,-19373,-5435,-24808,-16564,-8754,-25318,-148261,491473
2024-04-13,Product_6,West,491473,230810,90746,140064,-37352,-12978,-50330,-14400,-7996,-22396,67338,558811
2024-04-13,Product_3,West,558811,182946,169616,13330,-45447,-11792,-57239,36491,-9435,27056,-16853,541958
2024-04-14,Product_5,South,541958,243707,123208,120499,-38828,-1289,-40117,-16580,-301,-16881,63501,605459
2024-04-14,Product_5,East,605459,204019,125726,78293,-15492,-2636,-18128,-13898,-1184,-15082,45083,650542
2024-04-15,Product_3,West,650542,106641,163746,-57105,-39663,-883,-40546,16631,-7455,9176,-88475,562067
2024-04-15,Product_6,East,562067,115777,116958,-1181,-21538,-9271,-30809,25017,-784,24233,-7757,554310
2024-04-15,Product_8,North,554310,185864,190858,-4994,-17533,-12657,-30190,34748,-5801,28947,-6237,548073
2024-04-15,Product_7,South,548073,109592,70647,38945,-13716,3355,-10361,-17632,-6655,-24287,4297,552370
2024-04-16,Product_3,East,552370,204046,92097,111949,-18121,2303,-15818,-9034,-853,-9887,86244,638614
2024-04-16,Product_3,North,638614,132921,186141,-53220,-27677,2841,-24836,36661,-9907,26754,-51302,587312
2024-04-17,Product_6,East,587312,175285,173632,1653,-19599,-492,-20091,-16949,-4,-16953,-35391,551921
2024-04-17,Product_7,West,551921,243165,133523,109642,-44567,8940,-35627,-2981,-1693,-4674,69341,621262
2024-04-18,Product_1,West,621262,162750,88251,74499,-42945,-5738,-48683,5945,-8932,-2987,22829,644091
2024-04-18,Product_10,North,644091,85949,192222,-106273,-28944,-18069,-47013,46617,-512,46105,-107181,536910
2024-04-18,Product_2,West,536910,218877,65237,153640,-25056,-7225,-32281,36556,-3343,33213,154572,691482
2024-04-19,Product_7,West,691482,220734,76964,143770,-13130,-469,-13599,47215,-3506,43709,173880,865362
2024-04-20,Product_6,North,865362,173468,69435,104033,-49078,-6704,-55782,31293,-6617,24676,72927,938289
2024-04-21,Product_5,East,938289,136573,119101,17472,-42220,6646,-35574,3049,-2849,200,-17902,920387
2024-04-21,Product_4,East,920387,103289,170226,-66937,-40257,-10177,-50434,40160,-9207,30953,-86418,833969
2024-04-21,Product_5,North,833969,215683,87663,128020,-43646,9168,-34478,29115,-9087,20028,113570,947539
2024-04-21,Product_4,West,947539,91938,151680,-59742,-9000,-14948,-23948,18304,-3913,14391,-69299,878240
2024-04-22,Product_2,North,878240,172658,183633,-10975,-39850,7350,-32500,5351,-6748,-1397,-44872,833368
2024-04-22,Product_10,South,833368,155353,125953,29400,-46576,358,-46218,-16733,-825,-17558,-34376,798992
2024-04-22,Product_5,South,798992,237164,71338,165826,-5412,-12457,-17869,13496,-7164,6332,154289,953281
2024-04-23,Product_4,South,953281,118756,78888,39868,-40735,-5473,-46208,-2045,-5073,-7118,-13458,939823
2024-04-24,Product_7,West,939823,218429,121476,96953,-49811,-16560,-66371,150,-5644,-5494,25088,964911
2024-04-25,Product_9,East,964911,232424,171888,60536,-49912,-5603,-55515,21555,-728,20827,25848,990759
2024-04-25,Product_6,North,990759,146234,99954,46280,-18923,-3221,-22144,43932,-7400,36532,60668,1051427
2024-04-25,Product_3,West,1051427,246342,119163,127179,-22101,-834,-22935,44895,-4946,39949,144193,1195620
2024-04-26,Product_5,North,1195620,182795,147508,35287,-45419,20,-45399,40566,-1167,39399,29287,1224907
2024-04-26,Product_9,East,1224907,164076,149780,14296,-26545,1689,-24856,-8826,-6541,-15367,-25927,1198980
2024-04-27,Product_10,North,1198980,234786,98102,136684,-13924,-15670,-29594,-13199,-4846,-18045,89045,1288025
2024-04-27,Product_9,South,1288025,81542,81677,-135,-44081,7569,-36512,-935,-9409,-10344,-46991,1241034
2024-04-27,Product_5,North,1241034,134693,86962,47731,-33295,-6193,-39488,22348,-1365,20983,29226,1270260
2024-04-28,Product_1,East,1270260,248152,192396,55756,-30731,6403,-24328,15909,-7419,8490,39918,1310178
2024-04-28,Product_3,North,1310178,106790,178874,-72084,-30289,2361,-27928,-4515,-4268,-8783,-108795,1201383
2024-04-28,Product_2,West,1201383,83709,183961,-100252,-35355,3003,-32352,37799,-9086,28713,-103891,1097492
2024-04-28,Product_9,East,1097492,132224,99298,32926,-47956,-5317,-53273,41629,-504,41125,20778,1118270
2024-04-29,Product_1,North,1118270,113591,163333,-49742,-7105,-16373,-23478,2700,-1852,848,-72372,1045898
2024-04-29,Product_5,West,1045898,173396,81732,91664,-30826,-6157,-36983,-2360,-3376,-5736,48945,1094843
2024-04-29,Product_1,North,1094843,190133,166357,23776,-8330,-913,-9243,21430,-8120,13310,27843,1122686
2024-04-30,Product_10,West,1122686,91023,81447,9576,-29933,7595,-22338,3959,-667,3292,-9470,1113216
2024-04-30,Product_5,West,1113216,89337,106427,-17090,-41487,-871,-42358,11921,-539,11382,-48066,1065150
2024-04-30,Product_5,North,1065150,84835,80159,4676,-43810,-5163,-48973,18088,-6132,11956,-32341,1032809
2024-05-01,Product_3,North,1032809,216785,116178,100607,-9804,-1778,-11582,45545,-2871,42674,131699,1164508
2024-05-01,Product_2,East,1164508,248964,61015,187949,-32712,-17807,-50519,-11585,-7449,-19034,118396,1282904
2024-05-01,Product_9,South,1282904,86970,132474,-45504,-26168,-6228,-32396,384,-1633,-1249,-79149,1203755
2024-05-01,Product_9,East,1203755,88702,191456,-102754,-5404,-11825,-17229,27926,-2000,25926,-94057,1109698
2024-05-02,Product_5,South,1109698,160642,110612,50030,-28574,3524,-25050,49172,-4809,44363,69343,1179041
2024-05-03,Product_3,North,1179041,201288,98765,102523,-39816,-7662,-47478,33932,-716,33216,88261,1267302
2024-05-03,Product_4,South,1267302,117744,168319,-50575,-31657,-16581,-48238,-12761,-9766,-22527,-121340,1145962
2024-05-04,Product_10,South,1145962,141877,109922,31955,-33538,-15637,-49175,22944,-1077,21867,4647,1150609
2024-05-04,Product_5,South,1150609,104285,97626,6659,-47808,2928,-44880,33871,-2814,31057,-7164,1143445
2024-05-05,Product_7,East,1143445,81252,99764,-18512,-17173,-15327,-32500,33682,-6881,26801,-24211,1119234
2024-05-05,Product_6,South,1119234,135393,198013,-62620,-30934,3386,-27548,41886,-1331,40555,-49613,1069621
2024-05-05,Product_9,South,1069621,177239,102318,74921,-9637,-15146,-24783,32329,-7730,24599,74737,1144358
2024-05-06,Product_5,North,1144358,135479,79963,55516,-41932,7169,-34763,-5612,-5569,-11181,9572,1153930
2024-05-07,Product_3,East,1153930,228216,197162,31054,-16637,2415,-14222,4071,-9091,-5020,11812,1165742
2024-05-08,Product_4,West,1165742,181570,129724,51846,-15161,8732,-6429,-8686,-7570,-16256,29161,1194903
2024-05-08,Product_5,North,1194903,191195,163081,28114,-41668,3061,-38607,19749,-6376,13373,2880,1197783
2024-05-08,Product_10,South,1197783,131745,168464,-36719,-31329,-5876,-37205,3624,-6937,-3313,-77237,1120546
2024-05-08,Product_9,East,1120546,216312,178831,37481,-9432,9721,289,44291,-1276,43015,80785,1201331
2024-05-09,Product_8,South,1201331,219789,187449,32340,-33699,-11850,-45549,47661,-364,47297,34088,1235419
2024-05-09,Product_10,South,1235419,226106,196198,29908,-10122,-1970,-12092,35658,-5870,29788,47604,1283023
2024-05-09,Product_2,South,1283023,168869,165186,3683,-39674,-16914,-56588,26271,-8152,18119,-34786,1248237
2024-05-09,Product_7,North,1248237,221339,61062,160277,-34926,-13771,-48697,36793,-125,36668,148248,1396485
2024-05-10,Product_9,North,1396485,214668,169779,44889,-11168,-10205,-21373,-12439,-8258,-20697,2819,1399304
2024-05-10,Product_9,North,1399304,204049,86734,117315,-11371,590,-10781,6069,-7943,-1874,104660,1503964
2024-05-10,Product_8,North,1503964,103275,132274,-28999,-20913,-17528,-38441,40004,-2739,37265,-30175,1473789
2024-05-10,Product_10,West,1473789,245601,186394,59207,-15167,-9446,-24613,-2740,-3812,-6552,28042,1501831
2024-05-11,Product_1,North,1501831,238357,176421,61936,-6605,-14378,-20983,7139,-6986,153,41106,1542937
2024-05-12,Product_8,East,1542937,204040,64324,139716,-15787,-10889,-26676,18110,-5,18105,131145,1674082
2024-05-12,Product_2,West,1674082,239818,182883,56935,-27350,-11163,-38513,-19883,-2551,-22434,-4012,1670070
2024-05-13,Product_3,South,1670070,133441,60846,72595,-15954,-6297,-22251,26514,-6316,20198,70542,1740612
2024-05-13,Product_5,South,1740612,241177,102101,139076,-31386,5299,-26087,29376,-4208,25168,138157,1878769
2024-05-14,Product_1,South,1878769,158477,102533,55944,-6828,-18083,-24911,618,-6988,-6370,24663,1903432
2024-05-14,Product_3,North,1903432,203781,125545,78236,-21644,2422,-19222,-10135,-2219,-12354,46660,1950092
2024-05-14,Product_2,North,1950092,85287,68512,16775,-6342,-9432,-15774,-784,-2824,-3608,-2607,1947485
2024-05-14,Product_8,South,1947485,237686,102078,135608,-45752,-2012,-47764,-7781,-235,-8016,79828,2027313
2024-05-15,Product_5,West,2027313,181834,144555,37279,-13162,6146,-7016,-14585,-3391,-17976,12287,2039600
2024-05-15,Product_6,West,2039600,217023,147388,69635,-13007,8426,-4581,21832,-9444,12388,77442,2117042
2024-05-16,Product_3,North,2117042,95524,191149,-95625,-45345,7197,-38148,611,-600,11,-133762,1983280
2024-05-16,Product_10,North,1983280,123303,99711,23592,-16954,-12196,-29150,-1426,-9184,-10610,-16168,1967112
2024-05-17,Product_1,North,1967112,91246,187796,-96550,-41455,6727,-34728,-15982,-1970,-17952,-149230,1817882
2024-05-18,Product_6,East,1817882,176646,143122,33524,-29519,1951,-27568,36819,-5742,31077,37033,1854915
2024-05-18,Product_1,West,1854915,105053,191994,-86941,-38187,-1412,-39599,-9211,-1120,-10331,-136871,1718044
2024-05-19,Product_5,East,1718044,82336,163677,-81341,-7243,-971,-8214,39201,-4612,34589,-54966,1663078
2024-05-20,Product_10,North,1663078,126197,185733,-59536,-28710,9486,-19224,44435,-7863,36572,-42188,1620890
2024-05-20,Product_8,North,1620890,206108,74382,131726,-23755,-17109,-40864,-16244,-4225,-20469,70393,1691283
2024-05-20,Product_3,East,1691283,155683,184714,-29031,-39884,-14221,-54105,-5847,-6166,-12013,-95149,1596134
2024-05-21,Product_10,South,1596134,170474,193515,-23041,-15457,-9620,-25077,-2632,-7790,-10422,-58540,1537594
2024-05-21,Product_8,West,1537594,107306,97219,10087,-20343,-6365,-26708,44644,-3876,40768,24147,1561741
2024-05-21,Product_8,East,1561741,132329,87632,44697,-46563,-8359,-54922,35176,-5109,30067,19842,1581583
2024-05-22,Product_8,North,1581583,214869,94560,120309,-16053,2116,-13937,16244,-3417,12827,119199,1700782
2024-05-22,Product_4,South,1700782,197718,79256,118462,-40840,-18146,-58986,33173,-4662,28511,87987,1788769
2024-05-22,Product_3,West,1788769,148244,116264,31980,-14524,4777,-9747,19224,-4212,15012,37245,1826014
2024-05-23,Product_9,East,1826014,236222,123731,112491,-39393,-9686,-49079,-11423,-8070,-19493,43919,1869933
2024-05-23,Product_2,East,1869933,137761,96368,41393,-11783,-6774,-18557,21914,-4971,16943,39779,1909712
2024-05-24,Product_3,South,1909712,147526,79956,67570,-27359,-6528,-33887,17148,-4757,12391,46074,1955786
2024-05-24,Product_10,West,1955786,227313,163892,63421,-32696,-2650,-35346,26163,-3432,22731,50806,2006592
2024-05-24,Product_1,West,2006592,132853,156731,-23878,-26566,-10084,-36650,42823,-6704,36119,-24409,1982183
2024-05-25,Product_1,West,1982183,172374,193554,-21180,-29442,-19049,-48491,38066,-2079,35987,-33684,1948499
2024-05-25,Product_1,North,1948499,170397,132847,37550,-33071,3570,-29501,-1551,-768,-2319,5730,1954229
2024-05-25,Product_3,East,1954229,239937,197717,42220,-43000,6737,-36263,-8515,-5797,-14312,-8355,1945874
2024-05-26,Product_4,North,1945874,132487,189948,-57461,-17342,-11962,-29304,28770,-4873,23897,-62868,1883006
2024-05-26,Product_10,East,1883006,155629,180993,-25364,-21438,-12357,-33795,6399,-3462,2937,-56222,1826784
2024-05-26,Product_8,North,1826784,190904,90678,100226,-15682,-3620,-19302,36373,-3310,33063,113987,1940771
2024-05-27,Product_3,East,1940771,235232,145595,89637,-40822,-6425,-47247,44929,-7970,36959,79349,2020120
2024-05-28,Product_8,South,2020120,193453,144458,48995,-17175,931,-16244,34771,-8356,26415,59166,2079286
2024-05-28,Product_6,North,2079286,166925,126358,40567,-22327,-5711,-28038,-13850,-4425,-18275,-5746,2073540
2024-05-28,Product_7,North,2073540,82198,178865,-96667,-13705,-9888,-23593,3236,-6035,-2799,-123059,1950481
2024-05-28,Product_10,East,1950481,174914,162870,12044,-16382,875,-15507,-5404,-804,-6208,-9671,1940810
2024-05-29,Product_9,South,1940810,218155,180674,37481,-48861,-2229,-51090,9975,-2679,7296,-6313,1934497
2024-05-29,Product_7,West,1934497,248671,95954,152717,-32856,-17427,-50283,15367,-4033,11334,113768,2048265
2024-05-30,Product_9,East,2048265,103752,115029,-11277,-22685,-1075,-23760,35961,-8633,27328,-7709,2040556
2024-05-31,Product_2,East,2040556,154532,141994,12538,-36889,6751,-30138,41268,-5475,35793,18193,2058749
2024-06-01,Product_6,South,2058749,233252,181829,51423,-17875,-18378,-36253,28756,-8041,20715,35885,2094634
2024-06-02,Product_5,East,2094634,161182,89402,71780,-9263,5185,-4078,26828,-6136,20692,88394,2183028
2024-06-02,Product_5,East,2183028,222736,95737,126999,-40796,4027,-36769,9373,-2681,6692,96922,2279950
2024-06-03,Product_2,West,2279950,118709,81172,37537,-16555,1874,-14681,33276,-8340,24936,47792,2327742
2024-06-03,Product_8,East,2327742,169599,71046,98553,-36463,5826,-30637,8769,-4150,4619,72535,2400277
2024-06-04,Product_8,South,2400277,200900,119129,81771,-45483,-11058,-56541,47298,-7101,40197,65427,2465704
2024-06-04,Product_2,North,2465704,243993,192596,51397,-39888,-4952,-44840,15111,-5136,9975,16532,2482236
2024-06-04,Product_1,North,2482236,211132,143559,67573,-18350,4354,-13996,25186,-1252,23934,77511,2559747
2024-06-05,Product_3,South,2559747,100581,148929,-48348,-28051,-1294,-29345,49626,-6960,42666,-35027,2524720
2024-06-05,Product_1,South,2524720,116408,154006,-37598,-25491,-18659,-44150,24623,-8407,16216,-65532,2459188
2024-06-05,Product_3,West,2459188,223326,71344,151982,-6750,1988,-4762,47957,-7119,40838,188058,2647246
2024-06-05,Product_6,West,2647246,226968,137454,89514,-30064,4428,-25636,7935,-4873,3062,66940,2714186
2024-06-06,Product_7,North,2714186,223254,147833,75421,-24541,8921,-15620,24813,-4430,20383,80184,2794370
2024-06-06,Product_5,East,2794370,222194,140559,81635,-13007,-2095,-15102,21786,-1500,20286,86819,2881189
2024-06-06,Product_2,East,2881189,131571,85510,46061,-24426,-15503,-39929,-2150,-3561,-5711,421,2881610
2024-06-06,Product_7,North,2881610,169613,134910,34703,-40435,4364,-36071,-17017,-4278,-21295,-22663,2858947
2024-06-07,Product_7,East,2858947,174071,66640,107431,-49547,1852,-47695,-4683,-920,-5603,54133,2913080
2024-06-07,Product_2,North,2913080,159273,134859,24414,-20229,-8287,-28516,32393,-545,31848,27746,2940826
2024-06-07,Product_7,North,2940826,107788,129346,-21558,-35586,-12794,-48380,-3629,-2032,-5661,-75599,2865227
2024-06-08,Product_5,West,2865227,92984,93039,-55,-24895,-1845,-26740,38606,-4361,34245,7450,2872677
2024-06-09,Product_9,East,2872677,214502,92733,121769,-25144,-17950,-43094,13933,-8567,5366,84041,2956718
2024-06-09,Product_2,West,2956718,243985,172573,71412,-45600,5007,-40593,15400,-4494,10906,41725,2998443
2024-06-10,Product_9,West,2998443,123001,127364,-4363,-46898,-15195,-62093,-19194,-9655,-28849,-95305,2903138
2024-06-11,Product_8,East,2903138,240829,94636,146193,-19561,-4488,-24049,4262,-5690,-1428,120716,3023854
2024-06-11,Product_8,West,3023854,249269,101844,147425,-41332,-18611,-59943,20042,-824,19218,106700,3130554
2024-06-11,Product_10,North,3130554,238448,178533,59915,-20876,-1820,-22696,46262,-2736,43526,80745,3211299
2024-06-12,Product_3,West,3211299,229369,90448,138921,-31172,-9894,-41066,-12343,-2466,-14809,83046,3294345
2024-06-13,Product_2,South,3294345,192855,67906,124949,-12287,-19108,-31395,40504,-4675,35829,129383,3423728
2024-06-13,Product_5,South,3423728,228746,143560,85186,-28874,-9126,-38000,45160,-1218,43942,91128,3514856
2024-06-14,Product_2,West,3514856,174377,89192,85185,-47520,5994,-41526,30106,-9175,20931,64590,3579446
2024-06-15,Product_6,West,3579446,232826,195044,37782,-10295,-6087,-16382,21873,-8228,13645,35045,3614491
2024-06-15,Product_5,North,3614491,125648,185991,-60343,-14516,-5441,-19957,-17604,-2162,-19766,-100066,3514425
2024-06-15,Product_10,East,3514425,212663,71303,141360,-35561,-13817,-49378,-12686,-2383,-15069,76913,3591338
2024-06-15,Product_8,West,3591338,185228,157624,27604,-31292,-6519,-37811,49274,-2469,46805,36598,3627936
2024-06-16,Product_7,North,3627936,128874,109708,19166,-14017,-17192,-31209,29138,-5150,23988,11945,3639881
2024-06-16,Product_7,South,3639881,185865,62719,123146,-27890,-8300,-36190,16509,-9766,6743,93699,3733580
2024-06-16,Product_2,West,3733580,206209,152124,54085,-31123,-19706,-50829,40461,-9882,30579,33835,3767415
2024-06-16,Product_1,North,3767415,245904,91575,154329,-6007,-14555,-20562,27517,-5352,22165,155932,3923347
2024-06-17,Product_2,East,3923347,81435,151357,-69922,-31660,-14916,-46576,-6493,-7059,-13552,-130050,3793297
2024-06-17,Product_4,South,3793297,218563,183797,34766,-13073,-10923,-23996,953,-6353,-5400,5370,3798667
2024-06-17,Product_2,South,3798667,248639,175374,73265,-29860,1195,-28665,1427,-2428,-1001,43599,3842266
2024-06-17,Product_7,North,3842266,203786,67813,135973,-36598,-5586,-42184,7082,-9645,-2563,91226,3933492
2024-06-18,Product_4,North,3933492,169186,197612,-28426,-37232,-3578,-40810,48878,-9078,39800,-29436,3904056
2024-06-18,Product_4,West,3904056,158797,112307,46490,-8093,-8278,-16371,2042,-3778,-1736,28383,3932439
2024-06-19,Product_8,West,3932439,113756,113268,488,-44214,-3665,-47879,8602,-4179,4423,-42968,3889471
2024-06-20,Product_3,North,3889471,243268,188386,54882,-10626,-12576,-23202,-7143,-933,-8076,23604,3913075
2024-06-20,Product_2,North,3913075,106431,144976,-38545,-46752,-2825,-49577,6385,-5390,995,-87127,3825948
2024-06-21,Product_8,West,3825948,195672,196848,-1176,-41444,-16620,-58064,-11289,-8782,-20071,-79311,3746637
2024-06-21,Product_2,West,3746637,162879,196727,-33848,-49859,857,-49002,32098,-7725,24373,-58477,3688160
2024-06-21,Product_9,South,3688160,91536,88541,2995,-18547,-1741,-20288,14531,-8712,5819,-11474,3676686
2024-06-21,Product_6,West,3676686,154744,189749,-35005,-10109,3028,-7081,29268,-2433,26835,-15251,3661435
2024-06-22,Product_8,East,3661435,240831,145708,95123,-41935,8436,-33499,6589,-1389,5200,66824,3728259
2024-06-22,Product_6,West,3728259,86154,124288,-38134,-25581,-120,-25701,10087,-778,9309,-54526,3673733
2024-06-22,Product_6,East,3673733,126167,99499,26668,-43559,-4178,-47737,28787,-2720,26067,4998,3678731
2024-06-22,Product_10,West,3678731,102431,121681,-19250,-11368,7424,-3944,25004,-1949,23055,-139,3678592
2024-06-23,Product_4,South,3678592,130069,112326,17743,-48201,-4475,-52676,3398,-89,3309,-31624,3646968
2024-06-24,Product_10,South,3646968,207118,128577,78541,-5105,-10922,-16027,5003,-1895,3108,65622,3712590
2024-06-24,Product_3,East,3712590,212997,177832,35165,-31015,-19448,-50463,44881,-8907,35974,20676,3733266
2024-06-25,Product_8,South,3733266,214461,121550,92911,-29826,-17570,-47396,6630,-458,6172,51687,3784953
2024-06-25,Product_4,West,3784953,91653,141941,-50288,-13601,-19106,-32707,36446,-4904,31542,-51453,3733500
2024-06-25,Product_10,South,3733500,191562,132715,58847,-15326,-8213,-23539,-18440,-1266,-19706,15602,3749102
2024-06-25,Product_10,East,3749102,231094,183629,47465,-9780,-1689,-11469,8380,-2356,6024,42020,3791122
2024-06-26,Product_3,West,3791122,100049,165361,-65312,-21082,-19339,-40421,17412,-8503,8909,-96824,3694298
2024-06-26,Product_9,East,3694298,159561,68946,90615,-33706,-7268,-40974,-3691,-6078,-9769,39872,3734170
2024-06-26,Product_1,East,3734170,241099,172340,68759,-5956,-17929,-23885,27908,-9579,18329,63203,3797373
2024-06-27,Product_4,West,3797373,119063,174225,-55162,-20282,-15297,-35579,45128,-6563,38565,-52176,3745197
2024-06-27,Product_10,North,3745197,111585,103585,8000,-31958,6017,-25941,25350,-1394,23956,6015,3751212
2024-06-28,Product_6,North,3751212,208267,186503,21764,-24342,4288,-20054,7490,-3591,3899,5609,3756821
2024-06-28,Product_4,West,3756821,222633,148397,74236,-38142,6916,-31226,44324,-4648,39676,82686,3839507
2024-06-29,Product_6,West,3839507,178317,95046,83271,-40923,-11679,-52602,49350,-3216,46134,76803,3916310
2024-06-29,Product_9,North,3916310,147649,124674,22975,-48006,-6240,-54246,1927,-4555,-2628,-33899,3882411
2024-06-30,Product_4,North,3882411,201750,178154,23596,-49738,-19371,-69109,-184,-9472,-9656,-55169,3827242
2024-06-30,Product_5,West,3827242,159530,168856,-9326,-21959,3413,-18546,15946,-6052,9894,-17978,3809264
2024-06-30,Product_5,West,3809264,172324,69847,102477,-31155,-5865,-37020,47278,-1925,45353,110810,3920074
2024-06-30,Product_4,South,3920074,161537,151155,10382,-5281,7420,2139,19030,-1058,17972,30493,3950567
2024-07-01,Product_5,North,3950567,240928,124178,116750,-38997,5611,-33386,21235,-2740,18495,101859,4052426
2024-07-01,Product_2,West,4052426,206945,105272,101673,-28857,8444,-20413,-4602,-5342,-9944,71316,4123742
2024-07-02,Product_2,East,4123742,159141,72115,87026,-44062,2911,-41151,12556,-1969,10587,56462,4180204
2024-07-02,Product_10,West,4180204,215542,181863,33679,-15225,-10444,-25669,3196,-7519,-4323,3687,4183891
2024-07-02,Product_6,North,4183891,204398,170677,33721,-43006,-4423,-47429,35409,-7705,27704,13996,4197887
2024-07-02,Product_8,East,4197887,190448,110138,80310,-47823,-15560,-63383,34061,-3072,30989,47916,4245803
2024-07-03,Product_5,West,4245803,238056,170169,67887,-13125,-16709,-29834,49569,-5105,44464,82517,4328320
2024-07-03,Product_6,East,4328320,85704,171279,-85575,-11924,7208,-4716,46024,-7114,38910,-51381,4276939
2024-07-03,Product_4,South,4276939,194044,89165,104879,-6667,6213,-454,-15886,-3553,-19439,84986,4361925
2024-07-04,Product_9,East,4361925,236498,77772,158726,-43218,-16288,-59506,-18633,-8189,-26822,72398,4434323
2024-07-04,Product_6,East,4434323,171736,111924,59812,-8726,3616,-5110,7723,-4806,2917,57619,4491942
2024-07-05,Product_5,East,4491942,115643,163896,-48253,-22824,-7408,-30232,-11073,-6059,-17132,-95617,4396325
2024-07-05,Product_6,South,4396325,189834,85537,104297,-40757,-7960,-48717,2612,-6471,-3859,51721,4448046
2024-07-05,Product_2,South,4448046,111348,61177,50171,-9760,-19989,-29749,1636,-4399,-2763,17659,4465705
2024-07-06,Product_4,East,4465705,153770,138714,15056,-44338,5580,-38758,4596,-406,4190,-19512,4446193
2024-07-07,Product_7,West,4446193,139182,147163,-7981,-44310,3320,-40990,-11094,-4146,-15240,-64211,4381982
2024-07-07,Product_4,North,4381982,248722,106413,142309,-11012,-2653,-13665,-12849,-8564,-21413,107231,4489213
2024-07-07,Product_4,South,4489213,247450,181999,65451,-47641,-7711,-55352,24976,-6787,18189,28288,4517501
2024-07-08,Product_9,South,4517501,194014,132588,61426,-8654,3486,-5168,-1257,-8105,-9362,46896,4564397
